frame,vars,clauses,literals
1,77576,77577,
2,81004,81116,
3,87579,99713,
4,109558,207318,
5,157773,519875,
6,246122,1018658,
7,357860,1566018,
8,469769,2114536,
9,581821,2663293,
10,693945,3212145,
11,806063,3760970,
12,918159,4309764,
13,1030257,4858555,
14,1142377,5407374,
15,1254472,5956151,
16,1362973,6508440,
17,1475034,7057161,
18,1587117,7605895,
19,1702689,8150888,
20,1814764,8699632,
21,1926824,9248360,
22,2038920,9797094,
23,2150985,10345831,
24,2263075,10894554,
25,2371643,11447052,
26,2487235,11992026,
27,2599302,12540770,
28,2711390,13089494,
29,2823464,13638248,
30,2935555,14186973,
31,3047624,14735720,
32,3159712,15284441,
33,3271783,15740698,54943729.0
