frame,similarity_next,incremental_drift
1,0.27394688596909206,75.84056037022619
2,0.5078751700284415,30.518407792569665
3,0.8106663330189405,12.257943996412385
4,0.7576810878584642,10.072274176279183
5,0.965140702193678,2.8330016619595617
6,0.9754498652022108,1.9885136111409738
7,0.9793028881278288,1.6247817615571625
8,0.9747927417358887,1.7506872846777521
9,0.9789812886363567,1.4976591169847249
10,0.9943707247646577,0.7854873806953735
11,0.9942311681344476,0.7716794956286742
12,0.9940141252245814,0.7576674371254333
13,0.9959011854066395,0.6022154955650272
14,0.9542959773335528,1.9576748117144753
15,0.9815826356979844,1.2620364256142274
16,0.9866606421435843,1.0116766159133497
17,0.9986337546593215,0.32767693498603834
18,0.9981905744816301,0.3671763887507143
19,0.9957360226848088,0.5505513224950705
20,0.9946633455249588,0.6065988520868377
21,0.9982992486075661,0.34217473172565965
22,0.9885153589838006,0.8827346703434623
23,0.9908718451333812,0.7861284614869426
24,0.9978859526240462,0.37842100953954905
25,0.9951498663892286,0.582590373392379
26,0.9945930700224339,0.6135753967416162
27,0.9962925071622505,0.5187171794381894
28,0.998242975482314,0.3687441728754453
29,0.9983888855025221,0.34993873969903055
30,0.99812340578829,0.38393560259542636
31,0.9982545159685824,0.38200419198195895
32,-0.5532856175188555,13.992075377263083
33,0.9652106319552234,2.5279243406437875
34,0.9977793348505665,0.6448142177424704
35,0.9993901483546,0.3493617839039879
36,0.9990609851454952,0.43076320016742076
37,0.9984694175345137,0.5583791595673708
38,0.9992011745264704,0.41789318648731655
39,0.9986654713722505,0.528149648702213
40,0.9991692972837884,0.4374348203796555
41,0.9994259529893733,0.3719275687664893
42,0.9984336995809368,0.5981406600033791
43,0.998188120036866,0.6653206623088408
44,0.9993462176179145,0.4270232183850349
45,0.999072116416983,0.5056024617375533
46,0.9991547989566603,0.509687047378937
47,0.9990507930562305,0.546222239082734
48,0.9986205406193815,0.6749069386956361
49,0.9992221340192323,0.5505678299420697
