frame,similarity_next,incremental_drift
1,0.1855738476017929,84.68912805915103
2,0.524421443460365,34.779845698708876
3,0.7603714953448023,18.91865248601409
4,0.8391384285962938,9.361529893701796
5,0.928585864117404,5.4908852781705395
6,0.9139297896056647,5.112705294286154
7,0.9805867330705469,2.234426579063232
8,0.9853211398758426,1.7800320332558075
9,0.8981414632975142,4.143040349523789
10,0.8978473257606413,3.9249096201377434
11,0.6972396575210644,5.914116905567251
12,0.6678599378880661,5.267591351568452
13,0.972886263375474,1.4724240773172377
14,0.9759058646359329,1.3649316069264659
15,0.8572336648207404,3.244045355613246
16,0.9571853789647595,1.4997504898537062
17,0.9758525765660713,0.9498109245020049
18,0.7956707722128809,2.819063300000947
19,0.9902328040960946,0.6439428362254979
20,0.6316870763343341,3.6878852661478883
21,0.9932814282926009,0.46042731925146463
22,0.9950026935779901,0.3989098704671679
23,0.9858401474080092,0.6510720076032531
24,0.9769459176848729,0.8311080880016954
25,0.991808690317541,0.5001747874482217
26,0.9952728867584839,0.38989231612204756
27,0.9874069101748788,0.654617121809591
28,0.9959752507970396,0.4008018316273666
29,0.9597090809493749,1.315848296864025
30,0.6476315398147717,4.05250058098835
31,0.891539113941403,2.278958787003241
32,0.9903898255272771,0.6827718634838571
33,0.8147903109127292,3.0772322379439245
34,0.99134890270942,0.7485693221722468
35,0.9980686679023154,0.40889039185403014
36,0.9954754111043584,0.647724511166938
37,0.9435733467784367,2.105037116670983
38,0.9913921291219929,0.8488723239608613
39,0.9988184243600977,0.3913057244112627
40,0.9976480577311299,0.593403224121691
41,0.9960957248668008,0.656179208634863
42,0.9968271740145154,0.6888104518912931
43,0.9989999045620361,0.4521948620297879
44,0.9989506534160447,0.4747263860684299
45,0.9635697435412696,2.326601587521811
46,0.9923086126122365,1.2022772311629077
47,0.9955755477017567,0.9108063405261939
48,0.999041610567164,0.5866250300029228
49,0.9990140042687787,0.6174688058489901
