frame,vars,clauses,literals
1,77576,77577,
2,80983,81029,
3,84930,87411,
4,91489,110264,
5,123077,265546,
6,184378,704435,
7,295889,1250804,
8,407679,1798530,
9,519651,2347158,
10,631710,2895971,
11,743835,3444853,
12,855978,3993755,
13,968062,4542532,
14,1080182,5091419,
15,1192295,5640311,
16,1304417,6189193,
17,1416452,6737858,
18,1528522,7286611,
19,1640603,7835418,
20,1752703,8384224,
21,1864825,8933112,
22,1976929,9481889,
23,2089016,10030713,
24,2201116,10579480,
25,2313200,11128295,
26,2425311,11677106,
27,2537395,12225909,
28,2649503,12774704,
29,2761597,13323542,
30,2873703,13872345,
31,2985796,14421182,
32,3097910,14969981,
33,3209997,15518802,
