frame,vars,clauses,literals
1,291,494,
2,447,1004,
3,651,1777,
4,904,2835,
5,1165,3944,
6,1435,5102,
7,1700,6252,
8,1974,7439,
9,2248,8637,
10,2525,9853,
11,2806,11083,
12,3086,12312,
13,3369,13541,
14,3651,14770,
15,3933,15999,
16,4215,17228,
17,4496,18454,
18,4778,19683,
19,5060,20912,
20,5342,22141,
21,5624,23370,
22,5906,24599,
23,6188,25828,
24,6470,27057,
25,6752,28286,
26,7034,29510,
27,7316,30739,
28,7598,31968,
29,7880,33197,
30,8162,34426,
31,8444,35655,
32,8726,36884,
33,9008,38113,
34,9290,39342,
35,9572,40571,
36,9854,41800,
37,10136,43029,
38,10418,44258,
39,10700,45487,
40,10982,46716,
41,11264,47945,
42,11546,49174,
43,11828,50403,
44,12110,51632,
45,12392,52861,
46,12674,54090,
47,12956,55319,
48,13238,56548,
49,13520,57777,
50,13802,59006,
