frame,vars,clauses,literals
1,3313,6684,
2,5470,20085,
3,9045,36437,
4,12557,52597,
5,16104,68765,
6,19651,85057,
7,23198,101225,
8,26745,117455,
9,30292,133685,
10,33839,149915,
11,37386,166145,
12,40928,182373,
13,44475,198603,
14,48022,214835,
15,51569,231067,
16,55116,247299,
17,58664,263533,
18,62211,279765,
19,65758,295997,
20,69305,312229,
21,72852,328461,
22,76399,344693,
23,79946,360925,
24,83493,377157,
25,87040,393389,
26,90587,409621,
27,94134,425853,
28,97681,442085,
29,101228,458317,
30,104775,474549,
31,108322,490781,
32,111869,507013,
33,115416,523245,
34,118963,539477,
35,122510,555709,
36,126057,571941,
37,129604,588173,
38,133151,604405,
39,136698,620637,
40,140245,636869,
41,143792,653101,
42,147339,669333,
43,150886,685565,
44,154433,701797,
45,157980,718029,
46,161527,734261,
47,165074,750493,
48,168621,766725,
49,172168,782957,
50,175715,799189,
